filename,read_type,strand,lane,read_count
31_L2_SRR18328084.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,15166150
32_L1_SRR18328082.sra_1.fastq.gz,raw,forward,1,17236320
32_L1_SRR18328082.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,15659848
32_L1_SRR18328082.sra_2.fastq.gz,raw,forward,1,17236320
32_L1_SRR18328082.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,15659848
32_L2_SRR18328081.sra_1.fastq.gz,raw,forward,2,17612735
32_L2_SRR18328081.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,16682527
32_L2_SRR18328081.sra_2.fastq.gz,raw,forward,2,17612735
32_L2_SRR18328081.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,16682527
33_L1_SRR8581159.sra_1.fastq.gz,raw,forward,1,17604826
33_L1_SRR8581159.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,13535887
33_L1_SRR8581159.sra_2.fastq.gz,raw,forward,1,17604826
33_L1_SRR8581159.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,13535887
34_L1_SRR8581158.sra_1.fastq.gz,raw,forward,1,29568088
34_L1_SRR8581158.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,22987101
34_L1_SRR8581158.sra_2.fastq.gz,raw,forward,1,29568088
34_L1_SRR8581158.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,22987101
35_L1_SRR18328078.sra_1.fastq.gz,raw,forward,1,14183766
35_L1_SRR18328078.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,12911863
35_L1_SRR18328078.sra_2.fastq.gz,raw,forward,1,14183766
35_L1_SRR18328078.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,12911863
35_L2_SRR18328077.sra_1.fastq.gz,raw,forward,2,14502549
35_L2_SRR18328077.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,13761634
35_L2_SRR18328077.sra_2.fastq.gz,raw,forward,2,14502549
35_L2_SRR18328077.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,13761634
36_L1_SRR18328076.sra_1.fastq.gz,raw,forward,1,20253196
36_L1_SRR18328076.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,18397485
36_L1_SRR18328076.sra_2.fastq.gz,raw,forward,1,20253196
36_L1_SRR18328076.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,18397485
36_L2_SRR18328075.sra_1.fastq.gz,raw,forward,2,20689934
36_L2_SRR18328075.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,19598863
36_L2_SRR18328075.sra_2.fastq.gz,raw,forward,2,20689934
36_L2_SRR18328075.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,19598863
37_L1_SRR18328074.sra_1.fastq.gz,raw,forward,1,14884576
37_L1_SRR18328074.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,13567023
37_L1_SRR18328074.sra_2.fastq.gz,raw,forward,1,14884576
37_L1_SRR18328074.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,13567023
37_L2_SRR18328073.sra_1.fastq.gz,raw,forward,2,15186820
37_L2_SRR18328073.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,14433027
37_L2_SRR18328073.sra_2.fastq.gz,raw,forward,2,15186820
37_L2_SRR18328073.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,14433027
38_L1_SRR18328071.sra_1.fastq.gz,raw,forward,1,18167203
38_L1_SRR18328071.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,16651603
38_L1_SRR18328071.sra_2.fastq.gz,raw,forward,1,18167203
38_L1_SRR18328071.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,16651603
38_L2_SRR18328070.sra_1.fastq.gz,raw,forward,2,18543208
38_L2_SRR18328070.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,17727768
38_L2_SRR18328070.sra_2.fastq.gz,raw,forward,2,18543208
38_L2_SRR18328070.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,17727768
39_L1_SRR18328069.sra_1.fastq.gz,raw,forward,1,15728035
39_L1_SRR18328069.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,14303493
39_L1_SRR18328069.sra_2.fastq.gz,raw,forward,1,15728035
39_L1_SRR18328069.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,14303493
39_L2_SRR18328047.sra_1.fastq.gz,raw,forward,2,16076914
39_L2_SRR18328047.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,15249468
39_L2_SRR18328047.sra_2.fastq.gz,raw,forward,2,16076914
39_L2_SRR18328047.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,15249468
4_L1_SRR18328080.sra_1.fastq.gz,raw,forward,1,10641400
4_L1_SRR18328080.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,9769730
4_L1_SRR18328080.sra_2.fastq.gz,raw,forward,1,10641400
4_L1_SRR18328080.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,9769730
4_L2_SRR18328079.sra_1.fastq.gz,raw,forward,2,10860486
4_L2_SRR18328079.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,10394657
4_L2_SRR18328079.sra_2.fastq.gz,raw,forward,2,10860486
4_L2_SRR18328079.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,10394657
40_L1_SRR18328046.sra_1.fastq.gz,raw,forward,1,19566304
40_L1_SRR18328046.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,17628193
40_L1_SRR18328046.sra_2.fastq.gz,raw,forward,1,19566304
40_L1_SRR18328046.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,17628193
40_L2_SRR18328045.sra_1.fastq.gz,raw,forward,2,20014882
40_L2_SRR18328045.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,18822625
40_L2_SRR18328045.sra_2.fastq.gz,raw,forward,2,20014882
40_L2_SRR18328045.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,18822625
41_L1_SRR18328044.sra_1.fastq.gz,raw,forward,1,20201306
41_L1_SRR18328044.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,18278789
41_L1_SRR18328044.sra_2.fastq.gz,raw,forward,1,20201306
41_L1_SRR18328044.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,18278789
41_L2_SRR18328043.sra_1.fastq.gz,raw,forward,2,20679405
41_L2_SRR18328043.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,19527006
41_L2_SRR18328043.sra_2.fastq.gz,raw,forward,2,20679405
41_L2_SRR18328043.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,19527006
42_L1_SRR8581152.sra_1.fastq.gz,raw,forward,1,28999076
42_L1_SRR8581152.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,22445896
42_L1_SRR8581152.sra_2.fastq.gz,raw,forward,1,28999076
42_L1_SRR8581152.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,22445896
43_L1_SRR18328042.sra_1.fastq.gz,raw,forward,1,23781751
43_L1_SRR18328042.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,21467351
43_L1_SRR18328042.sra_2.fastq.gz,raw,forward,1,23781751
43_L1_SRR18328042.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,21467351
43_L2_SRR18328041.sra_1.fastq.gz,raw,forward,2,24389147
43_L2_SRR18328041.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,22969618
43_L2_SRR18328041.sra_2.fastq.gz,raw,forward,2,24389147
43_L2_SRR18328041.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,22969618
44_L1_SRR18328039.sra_1.fastq.gz,raw,forward,1,20596275
44_L1_SRR18328039.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,18773845
44_L1_SRR18328039.sra_2.fastq.gz,raw,forward,1,20596275
44_L1_SRR18328039.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,18773845
44_L2_SRR18328038.sra_1.fastq.gz,raw,forward,2,21069640
44_L2_SRR18328038.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,20027634
44_L2_SRR18328038.sra_2.fastq.gz,raw,forward,2,21069640
44_L2_SRR18328038.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,20027634
45_L1_SRR18328037.sra_1.fastq.gz,raw,forward,1,20183680
45_L1_SRR18328037.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,18224418
45_L1_SRR18328037.sra_2.fastq.gz,raw,forward,1,20183680
45_L1_SRR18328037.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,18224418
45_L2_SRR18328036.sra_1.fastq.gz,raw,forward,2,20618138
45_L2_SRR18328036.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,19421957
45_L2_SRR18328036.sra_2.fastq.gz,raw,forward,2,20618138
45_L2_SRR18328036.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,19421957
46_L1_SRR8581141.sra_1.fastq.gz,raw,forward,1,48231335
46_L1_SRR8581141.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,38006498
46_L1_SRR8581141.sra_2.fastq.gz,raw,forward,1,48231335
46_L1_SRR8581141.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,38006498
47_L1_SRR18328033.sra_1.fastq.gz,raw,forward,1,16391717
47_L1_SRR18328033.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,14966164
47_L1_SRR18328033.sra_2.fastq.gz,raw,forward,1,16391717
47_L1_SRR18328033.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,14966164
47_L2_SRR18328032.sra_1.fastq.gz,raw,forward,2,16750494
47_L2_SRR18328032.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,15952441
47_L2_SRR18328032.sra_2.fastq.gz,raw,forward,2,16750494
47_L2_SRR18328032.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,15952441
48_L1_SRR8581151.sra_1.fastq.gz,raw,forward,1,34872080
48_L1_SRR8581151.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,26794810
48_L1_SRR8581151.sra_2.fastq.gz,raw,forward,1,34872080
48_L1_SRR8581151.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,26794810
49_L1_SRR18328031.sra_1.fastq.gz,raw,forward,1,11504451
49_L1_SRR18328031.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,10577025
49_L1_SRR18328031.sra_2.fastq.gz,raw,forward,1,11504451
49_L1_SRR18328031.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,10577025
49_L2_SRR18328030.sra_1.fastq.gz,raw,forward,2,11741583
49_L2_SRR18328030.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,11258473
49_L2_SRR18328030.sra_2.fastq.gz,raw,forward,2,11741583
49_L2_SRR18328030.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,11258473
5_L1_SRR8581143.sra_1.fastq.gz,raw,forward,1,43595258
5_L1_SRR8581143.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,33573991
5_L1_SRR8581143.sra_2.fastq.gz,raw,forward,1,43595258
5_L1_SRR8581143.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,33573991
50_L1_SRR18328028.sra_1.fastq.gz,raw,forward,1,18836940
50_L1_SRR18328028.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,17253599
50_L1_SRR18328028.sra_2.fastq.gz,raw,forward,1,18836940
50_L1_SRR18328028.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,17253599
50_L2_SRR18328027.sra_1.fastq.gz,raw,forward,2,19246618
50_L2_SRR18328027.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,18380445
50_L2_SRR18328027.sra_2.fastq.gz,raw,forward,2,19246618
50_L2_SRR18328027.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,18380445
51_L1_SRR18328026.sra_1.fastq.gz,raw,forward,1,25964294
